"","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"1535","360050235013000",4,0,3,1,1,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,2,1,0,1,2,3,1
"1536","360050235021000",35,8,16,11,9,15,11,0,0,0,0,0,0,0,0,0,5,9,0,0,2,0,18,0,0,0,1,31,4,0,0,0,0,6,29,7,7,7,6,11,24
"1537","360050235021001",255,63,155,37,75,98,82,0,0,0,0,0,1,37,0,0,4,9,5,0,0,0,189,0,7,2,1,111,103,2,32,0,7,176,79,28,52,57,55,95,160
"1538","360050235022000",68,10,39,19,45,15,8,0,0,0,0,0,0,1,0,0,2,14,0,0,50,0,1,0,0,0,0,30,31,0,5,1,1,48,20,11,22,14,11,51,17
"1539","360050235023000",9,0,8,1,0,9,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,2,7,4,1,2,2,3,6
"1540","360050235023001",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
"1541","360050235024001",55,8,29,18,25,29,1,0,0,0,0,0,0,28,0,0,5,0,0,0,0,0,5,0,12,5,0,35,3,2,14,0,1,34,21,16,3,9,19,28,27
"1542","360050235024002",26,5,16,5,9,9,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,19,0,0,3,0,9,16,0,0,0,1,12,14,6,7,6,2,9,17
"1543","360050236001000",197,60,114,23,37,73,87,0,0,0,100,0,0,13,2,0,5,0,8,0,0,2,46,0,21,0,0,118,58,2,11,2,6,109,88,30,36,40,31,126,71
"1544","360050236001001",19,7,10,2,9,8,2,0,0,0,0,2,0,3,0,0,0,3,0,0,2,0,0,0,7,2,0,17,1,0,1,0,0,9,10,3,5,3,1,14,5
"1545","360050236002000",44,6,23,15,15,15,14,0,0,0,30,1,0,7,0,0,0,0,0,0,0,0,2,0,4,0,0,37,6,1,0,0,0,33,11,8,15,9,6,29,15
